method,N,seed,near_P@30,near_Recall@30,near_P@100,near_Recall@100,strict_Recall@30,strict_Recall@100
MutCount (0 labels),100,6,0.24,0.19459459459459455,0.10750000000000001,0.29054054054054057,0.4000000000000001,0.4000000000000001
Random,100,6,0.03333333333333333,0.02702702702702703,0.020000000000000004,0.05405405405405406,0.20000000000000004,0.20000000000000004
Ridge(one-hot),100,6,0.03333333333333333,0.02702702702702703,0.12000000000000002,0.3243243243243244,0.0,0.4000000000000001
Ridge(compact),100,6,0.03333333333333333,0.02702702702702703,0.12000000000000002,0.3243243243243244,0.0,0.4000000000000001
MutCount (0 labels),100,7,0.24666666666666667,0.185,0.11000000000000001,0.275,0.4000000000000001,0.4000000000000001
Random,100,7,0.0,0.0,0.010000000000000002,0.025000000000000005,0.0,0.0
Ridge(one-hot),100,7,0.26666666666666666,0.20000000000000004,0.14999999999999997,0.375,0.20000000000000004,0.5999999999999999
Ridge(compact),100,7,0.26666666666666666,0.20000000000000004,0.14999999999999997,0.375,0.20000000000000004,0.20000000000000004
MutCount (0 labels),100,8,0.21000000000000005,0.16153846153846155,0.1005,0.25769230769230766,0.4000000000000001,0.4000000000000001
Random,100,8,0.0,0.0,0.010000000000000002,0.025641025641025644,0.0,0.0
Ridge(one-hot),100,8,0.16666666666666663,0.1282051282051282,0.14999999999999997,0.3846153846153847,0.20000000000000004,0.4000000000000001
Ridge(compact),100,8,0.23333333333333334,0.17948717948717946,0.16999999999999998,0.43589743589743596,0.4000000000000001,0.5999999999999999
MutCount (0 labels),100,9,0.21000000000000002,0.1657894736842105,0.08950000000000001,0.23552631578947367,0.5,0.5
Random,100,9,0.03333333333333333,0.026315789473684202,0.04000000000000001,0.10526315789473681,0.0,0.25
Ridge(one-hot),100,9,0.26666666666666666,0.21052631578947362,0.18000000000000002,0.47368421052631565,0.0,0.5
Ridge(compact),100,9,0.20000000000000004,0.15789473684210525,0.16999999999999998,0.4473684210526316,0.0,0.5
MutCount (0 labels),100,10,0.17833333333333334,0.13717948717948716,0.09150000000000001,0.23461538461538461,0.4000000000000001,0.4000000000000001
Random,100,10,0.06666666666666667,0.05128205128205129,0.05000000000000001,0.1282051282051282,0.20000000000000004,0.20000000000000004
Ridge(one-hot),100,10,0.29999999999999993,0.23076923076923078,0.21000000000000002,0.5384615384615384,0.20000000000000004,0.8000000000000002
Ridge(compact),100,10,0.26666666666666666,0.20512820512820515,0.21000000000000002,0.5384615384615384,0.4000000000000001,0.5999999999999999
MutCount (0 labels),100,11,0.20833333333333334,0.16025641025641024,0.10000000000000002,0.2564102564102564,0.25,0.25
Random,100,11,0.0,0.0,0.0,0.0,0.0,0.0
Ridge(one-hot),100,11,0.20000000000000004,0.15384615384615383,0.14000000000000004,0.3589743589743589,0.0,0.5
Ridge(compact),100,11,0.23333333333333334,0.17948717948717946,0.18000000000000002,0.46153846153846156,0.0,0.5
MutCount (0 labels),100,12,0.23333333333333334,0.18918918918918917,0.08950000000000001,0.24189189189189192,0.4000000000000001,0.4000000000000001
Random,100,12,0.03333333333333333,0.02702702702702703,0.030000000000000006,0.0810810810810811,0.0,0.0
Ridge(one-hot),100,12,0.23333333333333334,0.18918918918918917,0.16999999999999998,0.4594594594594595,0.20000000000000004,0.5999999999999999
Ridge(compact),100,12,0.23333333333333334,0.18918918918918917,0.20000000000000004,0.5405405405405406,0.0,0.5999999999999999
MutCount (0 labels),100,13,0.24,0.19459459459459455,0.1085,0.29324324324324325,0.5,0.5
Random,100,13,0.06666666666666667,0.05405405405405406,0.030000000000000006,0.0810810810810811,0.0,0.0
Ridge(one-hot),100,13,0.16666666666666663,0.13513513513513514,0.14000000000000004,0.37837837837837834,0.0,0.0
Ridge(compact),100,13,0.13333333333333333,0.10810810810810811,0.14000000000000004,0.37837837837837834,0.0,0.0
MutCount (0 labels),100,14,0.23666666666666666,0.18205128205128202,0.10550000000000001,0.2705128205128205,0.4000000000000001,0.4000000000000001
